,x,y,2G,3G,4G,latitude,longitude
13456,693372.0,6160110.0,1,0,0,42.5407,2.9194
9654,648468.0,6160386.0,1,1,1,42.5414,2.3735
8653,641056.0,6160540.0,1,0,0,42.5422,2.2834
7018,596033.0,6161291.0,1,1,1,42.5439,1.736
13766,701327.0,6160612.0,1,1,0,42.5453,3.0161
13575,696690.0,6160669.0,1,1,0,42.5458,2.9598
24602,1232459.0,6182770.0,1,1,1,42.5479,9.4809
24592,1229897.0,6182638.0,1,1,1,42.5486,9.4497
13817,702350.0,6161133.0,1,1,1,42.55,3.0286
12112,663879.0,6161265.0,0,1,0,42.5502,2.5608
7219,603353.0,6161927.0,1,0,0,42.5506,1.8249
13901,703844.0,6161221.0,0,0,0,42.5507,3.0467
12611,672706.0,6161351.0,0,1,0,42.5514,2.6681
13903,703862.0,6161292.0,1,1,1,42.5514,3.047
24402,1173400.0,6178998.0,1,1,1,42.5552,8.7614
7182,602260.0,6162975.0,1,0,0,42.5599,1.8114
24587,1229159.0,6184128.0,1,1,1,42.5625,9.4423
24398,1172648.0,6179814.0,1,1,1,42.563,8.753
7104,599823.0,6163428.0,1,1,0,42.5636,1.7817
24461,1191470.0,6181320.0,1,1,1,42.564,8.9826
13752,700983.0,6162790.0,1,1,1,42.5649,3.012
13850,702888.0,6162828.0,1,1,1,42.5652,3.0351
13853,702924.0,6162867.0,0,0,0,42.5655,3.0356
24440,1182271.0,6180811.0,1,1,0,42.5656,8.8706
13263,689180.0,6162922.0,1,1,1,42.566,2.8684
24400,1172881.0,6180211.0,1,1,1,42.5665,8.7562
13881,703456.0,6163172.0,1,1,1,42.5683,3.042
7866,623729.0,6163941.0,1,1,1,42.5712,2.0723
7830,622436.0,6163982.0,1,1,1,42.5714,2.0566
12423,668364.0,6163935.0,0,1,0,42.5745,2.6152
13601,697393.0,6163895.0,1,1,1,42.5748,2.9683
12802,677665.0,6163983.0,0,1,0,42.5752,2.7283
8190,632452.0,6164361.0,0,1,0,42.5758,2.1783
