,x,y,2G,3G,4G,latitude,longitude
10436,699954.0,6168397.0,1,1,1,42.6153,2.9994
18655,1188634.0,6186967.0,1,1,1,42.6165,8.9534
9476,668319.0,6168660.0,1,1,0,42.6169,2.6144
10493,701836.0,6169049.0,1,1,1,42.6211,3.0224
6944,641982.0,6169337.0,1,1,0,42.6214,2.2937
10441,700051.0,6169245.0,1,1,1,42.6229,3.0006
18769,1228104.0,6190793.0,1,1,1,42.623,9.4361
10274,694318.0,6169544.0,1,1,1,42.6256,2.9308
18730,1220977.0,6190562.0,1,1,1,42.6261,9.3494
9838,679535.0,6169910.0,1,1,1,42.6286,2.7508
10535,702855.0,6170239.0,1,1,1,42.6318,3.0348
18650,1186177.0,6188500.0,1,1,0,42.6319,8.925
18652,1187373.0,6188714.0,1,1,1,42.633,8.9397
10407,698709.0,6170817.0,1,1,1,42.637,2.9843
7009,642765.0,6171246.0,1,1,0,42.6386,2.303
10083,688274.0,6171143.0,1,1,1,42.6399,2.8572
10191,691554.0,6171445.0,1,1,1,42.6426,2.8971
18773,1228254.0,6193196.0,1,1,1,42.6444,9.4403
6423,629019.0,6172088.0,1,1,1,42.645,2.1356
18668,1194543.0,6190994.0,1,0,0,42.6486,9.0289
9600,671933.0,6172397.0,1,1,1,42.6507,2.6582
5811,604837.0,6173369.0,1,1,0,42.6537,1.8409
9143,661315.0,6172951.0,1,1,1,42.6552,2.5288
10341,696801.0,6173030.0,1,1,1,42.6569,2.961
18770,1228105.0,6194882.0,1,1,1,42.6597,9.4401
18694,1209446.0,6193638.0,1,1,1,42.6619,9.2124
9516,669174.0,6173864.0,1,1,1,42.6638,2.6245
18772,1228211.0,6195395.0,1,1,1,42.6642,9.4419
10218,692333.0,6173977.0,1,0,0,42.6654,2.9066
10066,687778.0,6174033.0,1,1,1,42.6658,2.8511
10394,698358.0,6174382.0,1,1,1,42.6691,2.98
7334,646445.0,6174891.0,1,1,0,42.6717,2.3475
10139,690333.0,6174708.0,1,1,1,42.6719,2.8822
18767,1227949.0,6196252.0,1,1,1,42.672,9.4396
8743,655714.0,6174866.0,1,1,1,42.6721,2.4604
18708,1215053.0,6195797.0,1,1,1,42.6773,9.2825
18763,1227517.0,6196887.0,1,1,1,42.6781,9.435
10275,694380.0,6175414.0,1,1,1,42.6783,2.9315
10010,685723.0,6175552.0,1,1,1,42.6795,2.826
10198,691710.0,6175577.0,1,1,1,42.6798,2.899
9906,681937.0,6175700.0,1,1,1,42.6807,2.7799
10064,687759.0,6175795.0,1,1,1,42.6817,2.8508
18714,1216970.0,6196508.0,1,1,1,42.6823,9.3065
18775,1228280.0,6197482.0,1,1,1,42.6828,9.4448
10172,691032.0,6176012.0,1,1,1,42.6837,2.8907
10523,702647.0,6176006.0,1,1,1,42.6837,3.0323
18733,1221613.0,6197139.0,1,1,1,42.6846,9.3635
10212,692002.0,6176346.0,1,1,1,42.6867,2.9025
10223,692489.0,6176349.0,1,1,1,42.6867,2.9085
9981,684668.0,6176425.0,1,1,1,42.6873,2.8131
10158,690662.0,6176496.0,1,1,1,42.688,2.8862
10105,689166.0,6176767.0,1,1,1,42.6904,2.868
10141,690364.0,6176954.0,1,1,1,42.6921,2.8826
10199,691739.0,6176945.0,1,1,1,42.6921,2.8993
10080,688219.0,6177015.0,1,1,1,42.6927,2.8564
10178,691140.0,6177021.0,1,1,1,42.6927,2.892
10219,692405.0,6177059.0,1,1,1,42.6931,2.9074
18778,1228367.0,6198666.0,1,1,1,42.6934,9.4471
18768,1228071.0,6198666.0,1,1,1,42.6936,9.4435
10534,702838.0,6177129.0,0,1,0,42.6938,3.0346
10131,690064.0,6177224.0,1,1,1,42.6946,2.8789
18777,1228357.0,6198822.0,1,1,1,42.6948,9.4471
