,x,y,2G,3G,4G,latitude,longitude
21357,1220040.0,6174365.0,1,1,1,42.4817,9.3222
11283,695633.0,6153569.0,1,1,1,42.482,2.947
10851,682316.0,6153642.0,1,1,1,42.4824,2.7852
10746,678586.0,6153749.0,1,1,1,42.4833,2.7399
21379,1225933.0,6175553.0,1,1,0,42.488,9.3947
6742,627651.0,6154869.0,1,1,1,42.49,2.1212
10786,679643.0,6154497.0,1,1,1,42.49,2.7527
11727,706154.0,6154533.0,1,1,1,42.4906,3.0747
10987,686441.0,6154688.0,1,1,1,42.4919,2.8353
21428,1230382.0,6176449.0,1,1,1,42.4928,9.4495
21341,1214935.0,6175545.0,1,1,0,42.4959,9.2616
6799,629363.0,6155557.0,1,1,0,42.4964,2.1419
21387,1227062.0,6177086.0,1,1,1,42.501,9.4099
8098,648376.0,6156707.0,1,1,0,42.5083,2.3728
21223,1168001.0,6173909.0,0,1,0,42.5131,8.6915
6955,633286.0,6157419.0,1,1,1,42.5135,2.1894
11879,708924.0,6157255.0,1,1,1,42.515,3.1084
11706,705792.0,6157259.0,1,1,0,42.5151,3.0704
21298,1193936.0,6176174.0,1,1,0,42.5162,9.0078
11277,695430.0,6157921.0,1,1,1,42.5211,2.9445
6043,602551.0,6158807.0,1,1,1,42.5225,1.8157
21425,1229406.0,6179863.0,1,1,1,42.5241,9.441
11801,707370.0,6158324.0,1,1,0,42.5247,3.0896
6579,622163.0,6158914.0,1,1,1,42.5258,2.054
10942,685122.0,6158573.0,1,1,1,42.5268,2.8192
11705,705775.0,6158568.0,1,1,0,42.5269,3.0702
11239,693982.0,6159109.0,1,1,1,42.5317,2.9269
6468,619009.0,6159996.0,1,1,1,42.5352,2.0155
10389,668552.0,6159753.0,1,1,0,42.5369,2.6177
21324,1208546.0,6179666.0,1,1,1,42.5373,9.1881
21348,1217333.0,6180438.0,1,1,1,42.538,9.2953
11587,703931.0,6159854.0,1,1,1,42.5385,3.0478
11352,697714.0,6159920.0,1,1,1,42.5391,2.9722
7315,641301.0,6160268.0,1,1,0,42.5398,2.2864
21434,1232388.0,6181910.0,1,1,1,42.5403,9.4792
21235,1174214.0,6177441.0,1,1,1,42.5407,8.7699
11503,702145.0,6160337.0,1,1,1,42.5428,3.0261
5892,596016.0,6161305.0,1,1,0,42.544,1.7358
11525,702668.0,6161032.0,1,0,0,42.5491,3.0324
7211,639083.0,6161396.0,1,1,1,42.5498,2.2593
10134,663877.0,6161266.0,1,1,0,42.5503,2.5608
6071,603438.0,6161934.0,1,1,1,42.5507,1.8259
10713,677588.0,6161298.0,1,1,1,42.5511,2.7275
10553,672705.0,6161351.0,1,1,0,42.5514,2.6681
11578,703807.0,6161306.0,1,1,1,42.5515,3.0463
21402,1228120.0,6183138.0,1,1,1,42.5544,9.4287
11584,703863.0,6161770.0,1,1,1,42.5557,3.047
11471,701210.0,6162533.0,1,0,0,42.5625,3.0147
21231,1172263.0,6179761.0,1,1,1,42.5628,8.7483
5976,599870.0,6163477.0,1,0,0,42.5641,1.7822
11068,689157.0,6162941.0,1,1,1,42.5661,2.8681
21274,1182251.0,6180870.0,1,1,1,42.5662,8.8704
21232,1173026.0,6180369.0,1,1,1,42.5678,8.7581
11566,703514.0,6163201.0,1,1,1,42.5685,3.0427
6587,622364.0,6164003.0,1,1,1,42.5716,2.0557
7795,646331.0,6163892.0,1,1,1,42.5728,2.3472
10381,668362.0,6163936.0,1,1,0,42.5745,2.6152
11501,702109.0,6163881.0,1,1,1,42.5747,3.0257
11339,697357.0,6163932.0,1,1,1,42.5751,2.9679
10716,677663.0,6163983.0,1,1,0,42.5752,2.7283
11197,692694.0,6163952.0,1,1,1,42.5753,2.9111
6923,632451.0,6164362.0,1,1,0,42.5758,2.1783
21359,1220385.0,6184901.0,1,1,1,42.5758,9.3367
9141,653513.0,6164521.0,1,1,0,42.5789,2.4345
21313,1203134.0,6184307.0,1,1,0,42.5827,9.1269
11014,687493.0,6164992.0,1,1,1,42.5845,2.8478
21260,1178387.0,6182768.0,1,1,1,42.5858,8.8253
21299,1194210.0,6183968.0,1,1,1,42.5859,9.0183
6018,601714.0,6166427.0,1,1,0,42.5909,1.8041
21302,1195964.0,6184669.0,1,1,1,42.5909,9.0403
11329,697000.0,6165954.0,1,1,1,42.5933,2.9635
21394,1227697.0,6187441.0,1,1,1,42.5933,9.4278
11170,691814.0,6166561.0,1,1,1,42.5987,2.9004
7949,647479.0,6166799.0,1,1,1,42.599,2.3609
21282,1185858.0,6184828.0,1,1,1,42.5992,8.9178
11347,697624.0,6167027.0,1,1,1,42.6029,2.9711
9670,657213.0,6167362.0,1,1,0,42.6047,2.4793
11535,702775.0,6167456.0,1,1,0,42.6068,3.0338
11021,687789.0,6167499.0,1,1,1,42.6071,2.8514
10900,683796.0,6167722.0,1,1,1,42.609,2.8028
9040,652924.0,6168170.0,1,1,1,42.6117,2.427
6682,625648.0,6168445.0,1,1,1,42.6119,2.095
7906,647219.0,6168443.0,1,1,0,42.6137,2.3576
11429,699954.0,6168397.0,1,1,1,42.6153,2.9994
21286,1188634.0,6186967.0,1,1,1,42.6165,8.9534
10378,668319.0,6168660.0,1,1,0,42.6169,2.6144
11555,703219.0,6168713.0,1,1,0,42.6181,3.0392
11489,701836.0,6169049.0,1,1,1,42.6211,3.0224
7358,641982.0,6169337.0,1,1,0,42.6214,2.2937
11436,700059.0,6169238.0,1,1,1,42.6228,3.0007
21401,1228081.0,6190802.0,1,1,1,42.6231,9.4358
11250,694309.0,6169553.0,1,1,1,42.6256,2.9307
11288,695845.0,6169595.0,1,1,1,42.626,2.9494
21363,1220977.0,6190562.0,1,1,1,42.6261,9.3494
10782,679604.0,6169940.0,1,1,1,42.6288,2.7517
21283,1186190.0,6188497.0,1,0,0,42.6319,8.9252
11540,702826.0,6170277.0,1,1,1,42.6322,3.0344
21284,1187373.0,6188732.0,1,1,1,42.6332,8.9397
11395,698709.0,6170817.0,1,1,1,42.637,2.9843
7423,642765.0,6171246.0,1,1,0,42.6386,2.303
11041,688274.0,6171143.0,1,1,1,42.6399,2.8572
11160,691554.0,6171445.0,1,1,1,42.6426,2.8971
21406,1228274.0,6193201.0,1,1,1,42.6445,9.4405
6782,629014.0,6172088.0,1,1,1,42.645,2.1355
21300,1194687.0,6191005.0,1,1,0,42.6486,9.0306
10523,671933.0,6172397.0,1,1,1,42.6507,2.6582
6109,604842.0,6173364.0,1,1,0,42.6536,1.8409
9966,661340.0,6172946.0,1,1,1,42.6551,2.5291
11322,696806.0,6173027.0,1,1,1,42.6569,2.9611
21403,1228125.0,6194906.0,1,1,1,42.6599,9.4404
21327,1209446.0,6193638.0,1,1,1,42.6619,9.2124
10433,669174.0,6173864.0,1,1,1,42.6638,2.6245
21404,1228190.0,6195404.0,1,1,1,42.6643,9.4417
11019,687774.0,6174032.0,1,1,1,42.6658,2.8511
11376,698344.0,6174379.0,1,1,1,42.669,2.9798
7806,646445.0,6174891.0,1,1,0,42.6717,2.3475
9488,655714.0,6174866.0,1,1,1,42.6721,2.4604
11106,690332.0,6174729.0,1,1,1,42.6721,2.8822
21399,1227964.0,6196259.0,1,1,1,42.6721,9.4398
21342,1215023.0,6195779.0,1,1,1,42.6772,9.2822
11252,694387.0,6175398.0,1,1,1,42.6782,2.9316
21393,1227523.0,6196911.0,1,1,1,42.6783,9.4351
10962,685738.0,6175507.0,1,1,1,42.679,2.8262
11168,691710.0,6175578.0,1,1,1,42.6798,2.899
10844,681935.0,6175699.0,1,1,1,42.6807,2.7799
11018,687764.0,6175783.0,1,1,1,42.6816,2.8509
21407,1228280.0,6197482.0,1,1,1,42.6828,9.4448
11139,691049.0,6175988.0,1,1,1,42.6835,2.8909
11523,702642.0,6176042.0,1,1,1,42.684,3.0322
21366,1221685.0,6197256.0,1,1,1,42.6856,9.3645
11178,691999.0,6176343.0,1,1,1,42.6867,2.9025
11190,692489.0,6176349.0,1,1,1,42.6867,2.9085
10932,684668.0,6176425.0,1,1,1,42.6873,2.8131
11124,690654.0,6176472.0,1,1,1,42.6878,2.8861
11069,689167.0,6176755.0,1,1,1,42.6903,2.868
11167,691699.0,6176885.0,1,1,1,42.6915,2.8988
21420,1228669.0,6198493.0,1,1,1,42.6916,9.4506
11037,688217.0,6177014.0,1,1,1,42.6926,2.8564
11143,691136.0,6177020.0,1,1,1,42.6927,2.892
11111,690404.0,6177098.0,1,1,1,42.6934,2.883
11188,692398.0,6177105.0,1,1,1,42.6935,2.9073
21400,1228073.0,6198666.0,1,1,1,42.6936,9.4435
21411,1228417.0,6198717.0,1,1,1,42.6938,9.4477
21375,1224480.0,6198465.0,1,1,1,42.6944,9.3997
11097,690069.0,6177229.0,1,1,1,42.6946,2.879
21409,1228354.0,6198812.0,1,1,1,42.6947,9.4471
11502,702125.0,6177253.0,1,1,1,42.6949,3.0259
10971,685924.0,6177318.0,1,1,1,42.6953,2.8284
21414,1228549.0,6198930.0,1,1,1,42.6956,9.4495
21408,1228344.0,6198970.0,1,1,1,42.6961,9.4471
11530,702734.0,6177544.0,1,1,1,42.6975,3.0333
21410,1228415.0,6199129.0,1,1,1,42.6975,9.4481
21417,1228607.0,6199169.0,1,1,1,42.6977,9.4505
11084,689709.0,6177615.0,1,1,1,42.6981,2.8746
11153,691261.0,6177638.0,1,1,1,42.6983,2.8935
11195,692669.0,6177654.0,1,1,1,42.6985,2.9106
11173,691914.0,6177692.0,1,1,1,42.6988,2.9014
21415,1228578.0,6199325.0,1,1,1,42.6991,9.4503
11109,690393.0,6177755.0,1,0,0,42.6993,2.8829
11237,693935.0,6177772.0,1,1,0,42.6995,2.9261
9892,660314.0,6178058.0,1,1,0,42.701,2.5162
10633,675229.0,6178001.0,1,1,1,42.7012,2.698
21413,1228517.0,6199548.0,1,1,1,42.7012,9.4498
11472,701219.0,6177979.0,1,1,1,42.7014,3.0149
11206,693011.0,6177996.0,1,1,1,42.7015,2.9148
11549,703010.0,6177989.0,1,1,1,42.7015,3.0367
11132,690894.0,6178055.0,1,1,1,42.702,2.889
11161,691584.0,6178055.0,1,1,1,42.702,2.8974
21385,1226591.0,6199548.0,1,1,1,42.7026,9.4264
21412,1228442.0,6199709.0,1,1,1,42.7027,9.449
21398,1227908.0,6199685.0,1,1,1,42.7028,9.4425
21421,1228732.0,6199791.0,1,1,1,42.7032,9.4526
6060,603010.0,6178922.0,1,1,0,42.7034,1.8176
2937,453253.0,6183017.0,1,1,0,42.7044,-0.0087
11105,690306.0,6178348.0,1,1,1,42.7047,2.8818
11441,700171.0,6178430.0,1,1,1,42.7055,3.0021
21419,1228667.0,6200115.0,1,1,1,42.7061,9.4522
11086,689751.0,6178614.0,1,1,1,42.7071,2.8751
11136,691007.0,6178793.0,1,1,1,42.7087,2.8904
11314,696557.0,6179024.0,1,1,1,42.7108,2.958
10927,684541.0,6179088.0,1,1,1,42.7112,2.8115
11006,687172.0,6179226.0,1,1,1,42.7125,2.8436
11172,691870.0,6179456.0,1,1,1,42.7146,2.9009
11129,690836.0,6179489.0,1,1,1,42.7149,2.8883
21395,1227755.0,6201353.0,0,1,1,42.7179,9.4423
5314,572757.0,6181265.0,1,1,0,42.7197,1.4483
6694,626104.0,6180559.0,1,1,0,42.7208,2.0989
11081,689584.0,6180187.0,1,1,1,42.7212,2.873
11121,690627.0,6180327.0,1,1,1,42.7225,2.8857
21416,1228584.0,6201964.0,1,1,1,42.7228,9.453
5844,593135.0,6181285.0,1,1,0,42.7232,1.6968
6110,604922.0,6181156.0,1,1,0,42.7237,1.8405
10639,675407.0,6180895.0,1,1,1,42.7272,2.7001
11392,698628.0,6180869.0,1,1,1,42.7274,2.9833
9331,654582.0,6181193.0,1,1,1,42.7289,2.4461
11499,702034.0,6181206.0,1,1,1,42.7304,3.0248
10197,664842.0,6181571.0,1,1,0,42.7329,2.5712
8471,650311.0,6181679.0,1,1,0,42.733,2.394
6744,627696.0,6181913.0,1,1,0,42.7332,2.1181
11243,694103.0,6181516.0,1,1,1,42.7332,2.9281
7419,642740.0,6181797.0,1,1,0,42.7335,2.3016
2934,453223.0,6186341.0,1,1,0,42.7343,-0.0106
21383,1226568.0,6203139.0,1,1,1,42.7348,9.4297
9710,657645.0,6181947.0,1,1,1,42.7358,2.4834
11147,691175.0,6181880.0,1,1,1,42.7364,2.8924
11534,702755.0,6182147.0,1,1,1,42.7389,3.0336
6863,630870.0,6182626.0,1,1,0,42.7399,2.1567
11070,689223.0,6182380.0,1,0,0,42.7409,2.8685
11142,691131.0,6183314.0,1,1,1,42.7493,2.8918
7085,636394.0,6183778.0,1,1,0,42.7507,2.224
11016,687723.0,6183594.0,1,1,1,42.7518,2.8502
11426,699911.0,6183579.0,1,1,1,42.7518,2.9989
21423,1229203.0,6205608.0,1,1,1,42.755,9.4641
21361,1220510.0,6204913.0,1,1,0,42.7551,9.3577
11287,695704.0,6183979.0,1,1,1,42.7553,2.9476
6147,606673.0,6184654.0,1,1,0,42.7554,1.8612
10392,668605.0,6184138.0,1,1,0,42.7561,2.6169
10795,680059.0,6184154.0,1,1,1,42.7567,2.7567
9908,660493.0,6184420.0,1,1,1,42.7582,2.5179
6585,622349.0,6184885.0,1,1,0,42.7593,2.0525
10915,684277.0,6184612.0,1,1,1,42.7609,2.8081
9703,657596.0,6184924.0,1,1,0,42.7626,2.4825
11506,702280.0,6185156.0,1,1,1,42.7659,3.0278
21405,1228264.0,6206755.0,1,1,1,42.7659,9.4539
7644,644889.0,6185465.0,1,1,0,42.7666,2.3274
11082,689587.0,6185284.0,1,1,1,42.767,2.8729
9410,655130.0,6185472.0,1,1,0,42.7674,2.4524
6342,615256.0,6185903.0,1,1,0,42.7677,1.9658
6658,624989.0,6185812.0,1,1,0,42.7679,2.0845
10836,681607.0,6185411.0,1,1,1,42.768,2.7755
3817,501584.0,6188578.0,1,1,0,42.7694,0.5781
5431,575434.0,6186899.0,1,1,1,42.7708,1.4796
11377,698349.0,6186082.0,1,1,1,42.7743,2.9798
5573,580681.0,6187201.0,1,1,0,42.7744,1.5436
21418,1228631.0,6207734.0,1,1,1,42.7744,9.4593
5922,597620.0,6187021.0,1,1,0,42.7754,1.7503
10956,685540.0,6186252.0,1,1,1,42.7757,2.8235
10650,675574.0,6186320.0,1,1,1,42.776,2.7019
11166,691698.0,6186431.0,1,1,1,42.7774,2.8987
8238,649098.0,6186729.0,1,1,0,42.7783,2.3787
8954,652533.0,6186733.0,1,1,0,42.7786,2.4206
11300,696140.0,6186667.0,1,1,1,42.7795,2.9529
5406,574879.0,6188363.0,1,1,0,42.7839,1.4725
3174,467302.0,6191470.0,1,1,0,42.7851,0.1587
6378,616322.0,6187873.0,1,1,0,42.7855,1.9785
11533,702751.0,6187448.0,1,1,0,42.7865,3.0336
4922,560851.0,6189024.0,1,1,0,42.7873,1.3011
3647,493355.0,6190999.0,1,1,0,42.7888,0.4768
7413,642698.0,6188025.0,1,1,0,42.7895,2.3004
9457,655480.0,6188018.0,1,1,0,42.7903,2.4565
3467,486386.0,6191406.0,1,1,1,42.7904,0.3916
3840,502784.0,6190981.0,1,1,1,42.7913,0.5918
3013,456359.0,6192633.0,0,1,0,42.7919,0.0247
5835,592847.0,6188990.0,1,1,0,42.7924,1.6917
6706,626563.0,6188526.0,1,1,0,42.7925,2.1034
4699,551476.0,6190215.0,1,1,0,42.7961,1.1864
7098,636676.0,6188891.0,1,1,0,42.7967,2.2268
11113,690444.0,6188734.0,1,1,1,42.7981,2.8833
11546,702950.0,6188996.0,1,1,1,42.8005,3.036
10334,667465.0,6189216.0,1,1,1,42.8017,2.6027
3716,495923.0,6192627.0,1,1,0,42.8042,0.5075
9951,661085.0,6189579.0,1,1,1,42.8047,2.5248
21429,1230487.0,6211262.0,1,1,1,42.8047,9.4854
6438,618302.0,6190053.0,1,1,0,42.8053,2.0023
11537,702795.0,6189991.0,1,1,1,42.8094,3.0341
